housing_type;district;rooms;is_studio;total_area;living_area;kitchen_area;floor;num_floors;bathrooms_type;num_loggia;num_balcony;kitchen_and_living;condition;ceiling_height;nearest_metro_st;minutes_to_metro;num_freight_lift;num_passenger_lift;parking_type;building_type;furniture;price;deal_type;house_completion_year;first_floor_is_com;playground
Новостройка;Нижегородский;1;Нет;39,14537993;11,68574008;14,8633745;8,896102696;11,23174876;Совмещенный;1;0;Да;Предчистовая;3 ;Нет;;0,99960601;0,978981295;Подземная, открытая;Монолитный;Нет;11 247 504;Долевое участие (214-ФЗ);1981,928617;Да;Да
Новостройка;Приокский;1;Да;28,19395988;16,67862401;4,047262296;1,996239101;3,912848615;Совмещенный;0;0;Да;Предчистовая;2.7 ;Нет;;0,987773073;0,986698594;Открытая;Монолитный;Нет;3 941 540;Долевое участие (214-ФЗ);2034,012452;Да;Да
Новостройка;Ленинский;2;Нет;53,72037717;21,4371825;20,36678162;11,02124918;30,55936642;Раздельный;0;0;Да;Без отделки;2.7 ;Ленинская ;18;1,03649652;1,04857352;Подземная, открытая;Монолитно-кирпичный;Нет;10 493 452;Долевое участие (214-ФЗ);1994,438667;Да;Да
Вторичка;Прикоский;2;Нет;45,51253576;27,45307444;5,790425757;0,996078007;4,848708647;Совмещенный;0;0;Нет;Косметический;2.5 ;Нет;;0;0;Открытая;Кирпичный;Да;5 666 251;Свободная продажа;1929,348018;Нет;Да
Вторичка;Ленинский;1;Нет;39,64819242;18,6595401;8,034586683;7,013966568;10,07339515;Совмещенный;1;0;Нет;Евро;2.8 ;Двигатель революции;14;0;0,981461437;Открытая;Кирпичный;Нет;7 830 207;Свободная продажа;2051,598775;Нет;Нет
Новостройка;Нижегородский;1;Нет;37,75011876;15,16579415;12,93921258;2,032222644;19,50605177;Совмещенный;0;0;Да;Без отделки;2.7 ;Нет;;0,965591707;1,014667444;Подземная, открытая;Монолитный;Нет;5 924 428;Долевое участие (214-ФЗ);1961,821293;Да;Да
Вторичка;Сормовский;3;Нет;62,21775917;50,42904033;7,342443642;5,819844827;8,617075743;Раздельный;1;0;Нет;Требует ремонта;2.6;Нет;;0;1,012982146;Открытая;Панельный;Нет;7 884 227;Свободная продажа;2047,420345;Нет;Да
Новостройка;Нижегородский;2;Нет;58,13229964;28,895055;18,11911607;3,142961571;19,20485716;Совмещенный;0;0;Да;Без отделки;2.7 ;Нет;;1,028685617;1,031550488;Подземная, открытая;Монолитный;Нет;8 305 910;Долевое участие (214-ФЗ);2066,636338;Да;Да
Новостройка;Приокский;1;Нет;39,00784252;14,84676931;13,69704061;2,09507889;3,973993954;Совмещенный;0;0;Да;Предчистовая;2.7 ;Нет;;0,986071358;1,024810848;Открытая;Монолитный;Нет;4 879 881;Долевое участие (214-ФЗ);2004,572575;Да;Да
Новостройка;Ленинский;2;Нет;45,4435482;21,80060072;10,22055412;20,26971907;30,66132789;Совмещенный;0;0;Да;Без отделки;2.7 ;Ленинская ;18;0,950743526;0,969158672;Подземная, открытая;Монолитно-кирпичный;Нет;9 319 116;Долевое участие (214-ФЗ);2104,189647;Да;Да
